Tweet,Label
"baru saja diresmikan presiden jokowi waduk pidekso giriwoyo wonogiri menelan korban, seorang bocah tenggelam terperosok ke dalam bekas galian sedalam hampir 2 meter",Neutral
"5/24 wansen gemes bgt beixing ga peka ah, tpi bukan salahnya juga sih, wansen nya begitu, ya wajar wkwk terus itu gao ge malah bikin tambah salah paham cuma buat bpk nya kesal",Neutral
"sedikit cerita hehe jdi gni, gue pernah d tembak nihh dan gila dia bawa temen2 nya juga dong trs dia niat juga bawain gue coklatt, coklatnya banyak banget lgi karna dia tau kalo gue suka coklat",Love
semangat pagi,Joy
"ada beberapa hal yg patut kita berikan dan tidak, tapi saya kita kadang terlalu bodoh untuk memberikan apa yg kita punya dengan orang yg bahkan kita tidak tahu apakah dia akan menetap atau pergi,",Sad
"sumpah ya gue sampe takut tiap papasan sama ayam, pasti ngelambat. soalnya doi tuh bukannya minggir yang lebih deket tapi malah nyebrang",Fear
suka banget postur tubuhnya,Love
takut bgt moms,Fear
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",Anger
"dia emang gituu aku juga greget, gemes soft banget di rl tapi kalo liat film/dramanya kaget sekeren ituu",Joy
"nenek ma mak ku nih, tapi klo ada orang lgi ngomong kadang suka ikut njawab, heran banget",Anger
"ah itumah katanya palsu maskernya, mengecewakan",Anger
"alhamdulillah pagia"" dapet kabar baik",Joy
"ketularan kaget, pengawasan gak beres.",Fear
kok u bego,Neutral
"iya yaa, dulu suka banget bacain cerbung coboy junior yg cast nya iqbaal",Neutral
"kalo itu temen deket, kadang mereka kyk gitu tuh krn nganggep kamu santai, ga mudah marah, jd mereka nyaman aja godain km. solusinya km lebih tegas lagi aja, lebih ditunjukin kl km ga suka, jgn terlalu ga enakan..",Neutral
39. suka banget klepon,Joy
rame apa sepi nih!?? kasih info yg jelas napa,Anger
fasenya gini: tiba-tiba mood melow-nangis-pengen marah tapi gak bisa-grutu-ntr pura pura biasa aja-ntr akhirnya pengen ngomong terus sampe cape -baru nti biasa lagi,Sad
"semoga allah melimpahkan banyak rezeki orang orang yang bersangkutan, agar tidak membuat sedih mama dan saya, dengan tidak mengambil alih pesanan orang. semoga allah menggantikan rezeki baik berkali lipat untuk mama agar bisa terus membayar cicilan rumahnya. aamiin.",Neutral
gue juga gak jajan pake duit sendiri biasa minta nyokap tapi kok ini bisa ilang yaa,Neutral
saturasi elu diatas 97 kan? iya.. gue mau test maju mundur takut semoga lu cepat sembuh istirahat yang banyak. jangan banyak pikiran,Neutral
"rakyat sudah ribut dari kemarin, lalu dpr baru kaget sekarang. mereka digaji dengan uang rakyat kemarin ngapain aja? bukannya dpr harusnya check balances? Bikin eksmosi",Anger
seru banget kadang suka rewatch wkwk 8.5/10,Joy
emosi gue emosi asu,Anger
"hari ini aku libur, dan fict maitake sepi. punya masalah apa sih duniaa arghhh",Sad
lebih takut arab di puncak,Fear
tolol aja yg ngeseriusin,Anger
jangan merasa puas dengan pengetahuan yang anda miliki karna samudra ilmu membentang begitu sangat luas dan dalam.,Neutral
"jatuh cinta ama au bxb wkwk. terus temen w baru2 ini suka bangt4n. yaudah gue ajak aja terjun ke dunia per-au-an yang tks wkwk. doi juga suka dong wkwk. setelah ke tks, w mulai ke y00nm1n terus ke n4mj1n, terus pernah jg baca yg h0s30k x j00n seru bgt wkwk.",Love
"ayah ku berkata, lelaki itu tidak boleh di paksa dalam hal apapun. dimakan saja dan bersabarlah. jika ia jodohmu, ia akan kembali dan menjemput mu tanpa kamu mintai..",Neutral
dah ratusan woi.. apakah baik-baik saja ada 149 lubang bekas tambang di kawasan ibu kota negara (ikn) nusantara dengan luas 256 ribu hektare. lubang itu dihasilkan dari total 25 konsesi perusahaan tambang.,Neutral
"sabtu ini sudah jadwal bersih-bersih kamar kost karena berantakannya luar biasa. klora di sini, sudah memasuki usia kepala tiga, tahun ini.",Neutral
ngeri ngeri,Fear
"nontoon, suka bangt tapi eps sedikit banget trus ji tae kenapa mati",Love
"ini segala keresahan gua udah mau ilang nihh, pokoknya pikiran udah mulai enak deh tapi entah kenapa fyp gua isinya cuplikan film layangan kusut, ku kira kau rumah . kan anjing jadi ketriger lagi gua mulihin supaya mood gua muncul lagi tuh agak lama bgst",Anger
"sepi banget,",Neutral
treasure comeback yang sudah ada yang mau jadi apa saja kerugian p mksoed,Neutral
biasa sblm kluar dr bilik dentist tu check dulu klu tlebih suruh dentist potong dgn cutter,Neutral
"aku meriang jadi ga nonton juga, sedih:(",Sad
emosi tidak akan membimbingmu pada suatu pemikiran atau tindakan positif. oleh sebab itu kamu harus tenang :) teens_paulina,Neutral
tka gak usah asal jeplak kalau tidak tahu budaya orang indonesia.. bodoh jangan di pertontonkan.. tka buzzerrp dapet berapa receh.. dasar lambe arus,Anger
"gua baru sadar muka gua pas nikahan ga ada yg beres, kek terpaksa bgt senyum sampe photographernya blg biasanya penganten mah suka bgt di foto tapi kalo ini mah susah banget di foto",Sad
"biasa aja tauu, gantengan juga kamu",Neutral
"nani?? watashi daijoubu desu, tidak perlu khawatir susan-chan",Neutral
sedih bgt denise leave,Sad
"uri markeu selamat buat solo stationnya yeayy proud of you, makasii udah nyiptain karya yg luar biasa, makasi jg udh nyiapin banyak hal di thn kemarin dan thn ini, sehata"" trs ya mark, aku tunggu projek selanjutnya, speechless bgt dan smg karyanya bisa jadi motivasi ya mark",Joy
mau agak bar bar tapi agak takut juga kak,Fear
sy suka banget ini polos banget mereka asksk,Love
kebiasaan banget suka ngabarin dadakan,Love
"ono loro sik luar biasa wekyu koe berlinang air mata, terus ngucapne selamat tinggal selamanya.",Neutral
"10000?0 sihh enak didenger gituu, lirik nya juga relate bangett djdjjfjf keren ya tuhan",Joy
"ga pernah mimpi ttg treasure, sedih banget. harus gimana biar mimpi ttg trejo?",Sad
"gunakan syukur ketika kamu dicintai, dan gunakan sabar ketika kamu dibenci. jangan ada sesal, jangan ada sebal.",Neutral
"berharap ada yang cancel nendo bokuto dan akaashi yg di kyou biar bs co lgsg di web kyou aja mau ambil opslot tp takut krn harga nya ga murah dan rilisnya msh lama, nunggu sampe ina lbh lama lg tp takut jg sih klo ga dapet lg krn pasti war lg wkwk :"")",Fear
demi allah benci banget sama gwinam,Anger
kasih itu menutupi banyak kesalahan..kasihilah musuhmu..bagaimana engkau dapat mengasihi tuhan yang tidak kelihatan bila manusia yang terlihat saja tidak dapat kau kasihi,Neutral
"be mine iphone 12, my dream!! shopee jangan ragu untuk pilih aku sebagai pemenang nya ya, aku akan menjaga nya dengan sangat baik.",Joy
masa pagi dah nangis. benci bgt sma hati ku ini lemah,Sad
"haloo my lovely jejee, gua gapapa kok hehe, lu jugaa semangat yaa",Joy
sedih aku lagi berantem mereka saling cemburu akhirnya win ngembek,Sad
"terkadang, tidak peduli berapa banyak orang di sekitarmu, kamu merasa sepi. hanya karena kamu berharap dia yang kamu cinta ada di sisi karna kamu sangat menyayangi dirinya",Sad
sedih bacanya,Sad
sini bestie hi kak! lagi cari app prem? pengen cepet juga? ada nih! lengkap + fast respon + testi on pinned yaa yuk langsung dm! t jual netflix murah spotify wetv kaget nikah all of us are dead,Neutral
dipikir pikir habis dapet kabar baik eh langsung gitu bisa dibalik,Neutral
dah lah emosi mulu liat emyu,Anger
i know that some ppl disappointed with his official appearance. kalo gw sih enggak kecewa sama sekali because pretty ayato is justice,Neutral
sedih banget.,Sad
"pernah di infinite kalau di monsta x gak pernah, awalnya suka sungjong gara2 visual dia dan kiyowo banget apalagi kalau ngambek tuh kaya bocah, trus kepincut sama woohyun gara2 vocal nya sama sok gantengnya dia akhirnya woohyun jadi bias pertama sungjong bias ke dua",Love
aku hanya manusia biasa yang tak sempurna adn kadang salah..,Neutral
"tinggalin semua orang yg sekiranya toxic buat lu. lu gabole sedih woyy !!! ini uda jalan lu yg uda diatur sama allah,so ya lu harus memahami dan harus bisa mengerti terus jadi bisa mencintai. semua orang juga punya kelebihan-kekurangan masing2.",Neutral
makasihh banyak udh baca melt into you seneng banget tau kamu suka miy stay healthy and be happy always ya,Love
"somehow agak ragu kalau dibilang yg dicari 'talent' karena pada dasarnya yg diliat ada dua = visual sama talent tapi wajar sih namanya jg showbiz. indo aja begitu, gimana korea.. cukup menyedihkan",Sad
semangat kerjanya!,Joy
padahal kubu kamu juga buat naik daun kan anis rakyat juga gak bodoh tolol,Anger
makin hari makin tai palat haha. awal2 saja tu lai jgn tah mun nda beduit nda ko bguna tu bangsatt haha,Anger
gk enak bgtt iki,Sad
sir baik tak kena balik panggung mimpi ngeri..kuang kuang kuang..,Fear
padang enak,Joy
happy birthday valee !! bahagia terus kamuu !!,Joy
"hanya karena pernah terluka, tak berati kamu harus takut mencinta. ada seseorang yg tepat untukmu di luar sana.",Fear
aaksks tp w takut ntar mendadak s massal,Fear
"happy birthday jiann adek gantengkuu gemes ucul kuat perkasa semoga rl charamu dan kamunya sukses terus, bahagia selalu, dikasih banyak rejeki & kedamaian hidup, banyak yg makin sayang sama kmu juga! have a wonderful day",Joy
alhamdulillah pagi2 dapet kabar baik,Joy
"nah. selingkuh tuh penyakit. ga ada kata khilap. lo selingkuh kan dalam keadaan sadar. udh salah masih aja bela diri. please, jgn suka jajan diluar atau sex sembarangan, lo sakit yg kena orang rumah lo anjg mbak2nya kuat2 banget ya allah semoga selalu sehat mbak",Anger
"ssst iku sing waktu itu nyalon gubernur kalah telak itu bukan ? seriusan nanya. sepertinya negeri ini mjd tkesan tdk baik2 saja sejak bnyak yg kalah pilpres?ilgub?ilbub?pileg. tmasuk sejak byknya mentri & pjabat bumn dipecat, tmasuk pensiunan pjabat yg blm puas",Neutral
berasa bego kalau udh tinggal dikit lagi yg gak bisa jawab termasuk kitanya wkwk,Joy
si gabisa santai kl pake blush ampe jengkelan,Neutral
anjerr ngeri boss,Fear
"jangan sedih, mereka tiang, kita normal kok.",Neutral
senasibb wahh ada less semangat yaa kak jepp jangan lupa minum air putih yang banyak!! have a great dayy,Joy
takut banget kalo sampe nikah keluarga ga suka. trus cuma datang langsung pergi kaya tamu. kalo gitu kan kesan gak sukanya emang keliatan gt ya.,Fear
jaga kesehatan yaa dhe jangan smpe sakit dan tetap semangat ya cindvia_jkt48 ^_^,Joy
processed food sana murah n senang dpt. fast food restaurant tu bersepah n murah.,Neutral
"males banget, nge-chat w kalo cuma mau nirun, huh. di sekolah aja lagaknya kayak orang pinter, tapi suka nirun aing",Anger
"semoga cepat sembuh pak,, salam untuk keluarga besar. tetap semangat,,",Joy
poin no 3 solusinya kontrol your kntl pak! enak aja udah dikasih 1 buat seumur hidup masih minta cicip yg lain. poin no 4 juga geli bacanya. ujung2nya yg dipikirin juga perkelamninan ye ini buaya2,Anger
untung g malu se-fandom,Neutral
"usaha banget cari duit.. btw yg jajan di kantor ku suka gitu pas misal gak masuk apa gk jajan maksa gitu nitip2in jajan .. akhir nya besok nya tak bilangin .. ""besok2 jangan gitu ya.. soalnya emang lagi gk pengn jajan.. """,Neutral
kalau anaknya sama suka nyanyi sekarangg menyapaa di media gitu ga ya? soalnya nak w umur 6 taun apal banget dan sering nyanyiin tu jingle,Love
hanya orang biasa dengan mimpi yang biasa aja.,Neutral
"pemilu itu cuma masalah selera ibaratnya ada yang senang pake wc duduk yang lain senang wc jongkok,yang keluar sama aja tai",Neutral
edisi spesial valentine samsung galaxy s22,Neutral
takut nak amik spm tapi nak habes cepat,Fear
"seru banget, terlebih gue paling suka genre fantasi + tema kerajaan",Love
full cream cashew enak bgt!! marie oke lah. pengen nyoba matcha,Joy
"aku gak kepikiran sampe kesitu ka, soalnya aku buru-buru karna itu wl aku takut keduluan orang",Fear
nonton drama sama mama trus ada kiss scene gue panik,Fear
bangun jam 5 tadi krn mimpinya sedih. barusan tidur lagi 15 menit mimpinya malah lanjut. another day of waking up with a heavy heart. ga enak,Sad
"ujunga""nya jadi bangkai saja buanga"" duit aja gak guna dan gak ada satupun proyek yang sukses kesallll mau tampol",Anger
betull itu enak,Neutral
wanita mau saja dimadu asalkan sang pria mau untuk di racun.a,Neutral
"sender, ternyata kamu mutualku aku baru sadar. suka banget sama karyamu nder, aku sering save in hehe",Love
"i think senpai-tachi found it kenchan is so cute tho. i mean, mereka berdua tuh udh kenal kenchan dri umur belasan tahun atau bahkan kurang, trus dapet kabar dia nikah dengan salah satu orang yg mereka kenal juga, jadi ngerasa kyk ngebesarin anak sendiri pasti wkwk. lucu banget",Joy
kalo pusing sama sedih pasti jadi kangen rumah,Sad
"ahaha~ kau ini bisa saja. karena tak ada kegiatan, akhirnya aku berkebun saja. jujur, katarina malu.",Neutral
". . bagaimana? sudah sadar betapa lucunya kamu yang pernah bodoh untuk seseorang yang bahkan tak pernah menganggapmu? . jika sudah mari tertawa bersama, ngetawain perjuangan yang sia-sia. serta harapan fiktif dengan luka yang nyata. . .",Sad
sempet sedih juga pas denger tahun kmrn kq minus dikit pendapatannya (kayanya grgr kingdom juga sih ini) semoga tahun ini bisa berlipatlipat gandaa,Sad
alesan takut kena congorna soalnya ada guru yg menantunya kena tp masih ngajar,Fear
selamat pagi.. sakit apa kak ? saya juga kurang enak badan nih,Sad
"terpantau balas dendam goro"" sumpek ndek dosen sing sak penake dewe",Anger
yuk istirahat lebih cepat semoga besok dapat kabar baik,Joy
"ingett wkwk. iyaa dog lalu kita bertiga , sama dina mabuk kepayang sama legollas, pinjam cd nya di rentalan , astagaa kita remaja bahagia ya waktu ity",Joy
"iya swndirian banget, soalnya ada beberapa anak yang positif kopit jumat kemarin. asli panik dan takut",Fear
"hahaha sama, lagi baca ulang volvoreta gak tau kenapa kakak tuh suka banget ngulang baca volvoreta, habis aku revisi haha tidak ada lagi part ekehm nya, jadi amann",Joy
semangat kak,Joy
"morning win win metawin semoga makin banyak solo projek, solo endorsement, series baru dan projek-projek lain yang bikin win bahagia.,",Joy
"bentar lagi yaa riin :) kalo rumah sepi, langsung pergi",Neutral
"eh tak, biasa biasa ja",Neutral
"aku gini, mamah nya masih sering banget minta temenin pegi atau ga nyuruh main kerumah. padahal mamahnya tau kita udah ga bareng. berasa takut , takut bikin risih pasangan doi nantinya. dan akhirnya aku suka cari alesan gitu, dan aga ngasih space",Fear
"dan sama saja bagi mereka, apakah engkau memberi peringatan kepada mereka atau engkau tidak memberi peringatan kepada mereka, mereka tidak akan beriman juga. (qs. ya-sin 36: ayat 10",Neutral
aph yg membuat mu ragu nak?,Neutral
bersabar itu jauh berbeda dengan tidak bertindak karena pesimis dan takut. bersabar itu bertahan dalam sikap baik,Neutral
"kalo dia nulis cerita, suka banget deskripsiin keindahan fisik ceritanya sampe lupa detail alurnya sendiri. how cute sampe kadang ada yang diem diem bilang ""tulisannya terlalu rapi jadi agak bosenin""",Love
"setiap orang punya rumah , tapi tidak setiap rumah memiliki warna yang cerah sesuai keinginannya",Neutral
ada nih kak isvaya ( ) nderr! kalo masih ragu boleh cek dulu profiles nya di flipbook atau langsung aja dm ke charie yaa,Neutral
"di antara banyak sifat orang bertaqwa ialah sifat pandai menahan marah, dan mudah memaafkan sesama manusia",Neutral
takut banget buka wa.,Fear
bego emang nggak bisa apa apa lu zar cuman beban doang,Anger
itu lengkong bego,Anger
sedih mulu :(,Sad
sedih bgt waktu salaman sama kucing,Sad
"aku awalnya kan lagi scroll ig tu terus liat jae di podcast apa ya lupa nah kata katanya tu ngena banget, awalnya aku kira dia motivator terus cari cari di youtube taunya punya lagu juga, awal aku denger lagu dia yang pacman langsung suka si terus dari situ",Love
sepi dehh,Neutral
agak ngeri tp tetep semangat gurls!,Fear
ngeri brodi kapal sebelah,Fear
"punya acara pagi bukannya disiapin dari malem atau bangun lebih awal malah milih marah marah di pagi hari, hdehh",Anger
"tapi soal kerudung.. nggk gw gak bisa. keeudung yang mleyat mleyot, terus kusut sana sini eww no. bisa sih pake kerudung yang rabani. tapi hari jum'at - sabtu wajib pakai yang ada logo sekolahnya. daan kalo misal gw siap"" 5 menit (tapi kayaknya bakal lebih) terus perjalanan -",Neutral
"pagi pagi disambut sama kabar baik dar jimim gimana nih rasanya? semoga hari ini mood baiknya terus terjaga sampai akhir hari yaa! jangan lupa jaga kesehatan juga biar jimim ga sedihh, have a nice weekend lovely a‚^ a· ^a‚Ž",Joy
lebih ke bego kalo ak,Neutral
tim yang suka banget liat angka tabungan nambah tp teteup ga pelit sama diri sendiri apalagi buat makan + ga pelit juga buat beli beli kado dll. kalau barang mahal ya nabung dulu atau nunggu ada bonus baru deh beli. ga tiap bulan belanja barang mahal berkedok self reward,Neutral
jadi malu :3 tapi seru wkwkwkwk,Joy
loka open verif dijamin amanah trusted juga mastip 15 maret 2022 ramah kok pren tidak galak (.) jangan ragu langsung dm/wa di bionya ya! yg mau verif lainnya juga bisa fast respon : 2,Neutral
terus masih harus bayar kalau itu beban masih saya maklumi tapi kalau masih di sebut sebagai tagihan yang benar saja,Neutral
yang ni tak payah cakap banyak. tengok muka pun tahu jenis suka buat onar. terima kasih kerana report kami akan masukkan dalam list untuk report klik:,Neutral
serius tubatu tuh juara banget title track nya dari debut smp skrg gada yg ga suka huhu,Love
asli gue sedih bgt tai,Sad
iya suka banget,Love
"kalo gak dipenjemin duit tuh yaudah gt loh gausah yang ""lo mah enak bla bla"" diem aje lo diem sebelum w gebug puting lo.",Anger
"jangan melihat masa lalu lebih baik dari saat ini, karena hanya buatmu sulit temukan bahagia tuk dirimu sendiri. just be happy!",Joy
"woh gitu ya logikanya? wah suwun cak, bisa lah nambah resep kuah-kuahan lain. nambah bebek iki soale aku suka banget sama bebek surabaya yg bumbu kuning jadi sekalian aja",Love
lagu ngegalau kelas 10 pas lagi jaman jamannya galauin cowo yang seharusnya ngga gue galauin haha dasar bodoh,Anger
pantesan temlen sepi mu kalah maning tho ..,Neutral
"jika tidak dapat menggembirakan kedua ibu bapamu, jangan menjadikan hati mereka sedih kerana sikapmu selamat pagi semua",Neutral
sepi conge!!!,Anger
"kaak makasih banyak , yaampun denise sedih banget",Sad
"oh kalo kfc iya masih ada rasanya, tapi kalo ayam biasa kan.. beda gak sih",Neutral
goblok mah goblok sendiri aja buibu.. tetangga di gresik kmaren gini semua. miris. punya komunitas bego nan tolol itu hal tergaenak yg pernah gua alami 3 tahunan disana.,Anger
kaget indikasi tidak menguasai persoalan dan tidak memahami perkembangan ..,Neutral
suka banget sama keluarga ini,Love
"di liat2 aparat seakan2 memancing emosi rakyat ya,,yg jadi pertanyaan supaya apa ?? apakah sbnernya aparat ingin bentrok dengan warganya sendri ?? hukum di tindak secara tdk adil, ulama di peresekusi, umat muslim di tuduh radikal, pedagang2 kecil di denda tidak wajar ,",Neutral
ni nder ayo semangat,Joy
"betul aku juga gt, mikinya nanti kalo pas udah nikah mau konsul tentang kehamilan maunya pake dokter yang biasa dipake keluarga ku pas mereka hamil aja lebih aman",Neutral
demi apapun ini enak bgt fess,Joy
"bikin sendiri. tapi jarang banget sih, soalnya mamah kan udah tau apa yg aku ga suka jadi ga bakal masak itu",Neutral
"dulu ketika masih smp suka banget sama lagu ini, karena juga relate ya",Love
emang bagus banget dah aku juga suka! seruuuuu bisa liat 3 spiderman di satu film.,Love
makasiih.. iya ya ampun kaget bangett,Joy
baru juga reda emosi nya udah emosi lagi,Anger
kmana aja kliaan.. ?? kok bru kaget sekarang ?? freak,Anger
"bisa dicipratin air kak, bagian belakang badannya aja jg gapapa, klo muka kasian takut kaget",Fear
"kalo aku marah, ngambek, kalo aku bls/jwbnya singkat2 & akhirnya cuekin kamu. itu artinya aku pengen kamu peka, perhatian & perduli.",Anger
"huhuu makasih ya min udah buat ga ini aku suka keduanya , pertama tama qiao tuh baik banget sama orang-orang, padahal orang itu baru dia kenal dan qiao juga ga segan segan-segan buat nolong mereka, lao yan juga gemes bgt kalo lagi deketin qiao, aku suka bgt keduanya",Love
masa bodoh sama virus maksudnya,Neutral
"minyak yg ngebungkus si kebabnya (gatau deng kertas minyak atau apa, pokoknya yg suka dipake buat bungkus kebabnya). asli lengket banget, dilepasnya susah, dikeluarin dari tempat kebabnya juga susah banget sampe tempat kebabnya harus dirobek dulu anjir worst experience ever lah",Love
itu perkara biasa dah,Neutral
"sedih,, dahla yen pun mahal ibarat beli usd",Sad
"bangsat, ngagetin aja",Anger
memang sedang sepi. selamat pagi. ^^,Neutral
